FILE,COMMIT_POSISTION,IS_DependencyManeged,GROUP_ID,ARTIFACT_ID,VERSION
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,org.reflections,reflections,0.9.9-RC1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,org.apache.zookeeper,zookeeper,3.3.6
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,commons-io,commons-io,1.4
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,commons-lang,commons-lang,2.4
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,commons-logging,commons-logging,1.0.4
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,org.slf4j,slf4j-api,1.7.6
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,javax.mail,mail,1.3.1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,ch.qos.logback,logback-core,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,ch.qos.logback,logback-classic,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,org.osgi,org.osgi.core,4.2.0
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,javax.ws.rs,javax.ws.rs-api,2.0-rc1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,hadoop-v2,hadoop-core,2.12.0
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,junit,junit,4.8.1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,org.glassfish.jersey.core,jersey-client,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,org.glassfish.jersey.media,jersey-media-json-jackson,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,org.springframework,org.springframework.context,3.1.2.RELEASE
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,com.baidu.disconf,disconf-client,0.0.1-SNAPSHOT
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-demo\_pom.xml.912,912,false,redis.clients,jedis,2.1.0
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.reflections,reflections,0.9.9-RC1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.apache.zookeeper,zookeeper,3.3.6
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,commons-io,commons-io,1.4
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,commons-lang,commons-lang,2.4
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,commons-logging,commons-logging,1.0.4
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.slf4j,slf4j-api,1.7.6
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,javax.mail,mail,1.3.1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,ch.qos.logback,logback-core,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,ch.qos.logback,logback-classic,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.osgi,org.osgi.core,4.2.0
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,javax.ws.rs,javax.ws.rs-api,2.0-rc1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,hadoop-v2,hadoop-core,2.12.0
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,junit,junit,4.8.1
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.glassfish.jersey.core,jersey-client,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.glassfish.jersey.media,jersey-media-json-jackson,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.springframework,org.springframework.context,3.1.2.RELEASE
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.springframework,org.springframework.web,3.1.2.RELEASE
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,org.springframework,org.springframework.web.servlet,3.1.2.RELEASE
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,javax.servlet,servlet-api,2.4
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,com.baidu.disconf,disconf-client,0.0.1-SNAPSHOT
C:\Users\VANT\workspace\disconf-poms\disconf\demo\disconf-springdemo\_pom.xml.912,912,false,com.baidu.disconf,disconf-demo,0.0.1-SNAPSHOT
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,org.reflections,reflections,0.9.9-RC1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,org.apache.zookeeper,zookeeper,3.3.6
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,commons-io,commons-io,1.4
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,commons-lang,commons-lang,2.4
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,commons-logging,commons-logging,1.0.4
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,org.slf4j,slf4j-api,1.7.6
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,javax.mail,mail,1.3.1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,ch.qos.logback,logback-core,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,ch.qos.logback,logback-classic,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,org.osgi,org.osgi.core,4.2.0
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,javax.ws.rs,javax.ws.rs-api,2.0-rc1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,hadoop-v2,hadoop-core,2.12.0
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,junit,junit,4.8.1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,org.glassfish.jersey.core,jersey-client,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,org.glassfish.jersey.media,jersey-media-json-jackson,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,org.springframework,org.springframework.context,3.1.2.RELEASE
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,com.baidu.disconf,disconf-client,0.0.1-SNAPSHOT
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-demo\_pom.xml.908,908,false,redis.clients,jedis,2.1.0
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,org.reflections,reflections,0.9.9-RC1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,org.apache.zookeeper,zookeeper,3.3.6
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,commons-io,commons-io,1.4
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,commons-lang,commons-lang,2.4
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,commons-logging,commons-logging,1.0.4
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,org.slf4j,slf4j-api,1.7.6
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,javax.mail,mail,1.3.1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,ch.qos.logback,logback-core,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,ch.qos.logback,logback-classic,1.0.9
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,org.osgi,org.osgi.core,4.2.0
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,javax.ws.rs,javax.ws.rs-api,2.0-rc1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,hadoop-v2,hadoop-core,2.12.0
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,junit,junit,4.8.1
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,org.glassfish.jersey.core,jersey-client,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,org.glassfish.jersey.media,jersey-media-json-jackson,2.0-m13
C:\Users\VANT\workspace\disconf-poms\disconf\demos\disconf-springdemo\_pom.xml.908,908,false,org.springframework,org.springframework.context,3.1.2.RELEASE
